task_idx,bin_start_utc,bin_end_utc,x_Delta,x_Theta,x_Alpha,x_Beta,x_Gamma,theta_h,radius,dtheta,d2theta,kappa_torus,dr,d2r,kappa_geom
13,2026-01-31 14:55:30.760000+00:00,2026-01-31 14:55:31.010000+00:00,12.558367217862136,1.5965323615796205,13.768618298266233,61.21193578981139,18.01090970041259,-1.927826801560781,0.8489140999482458,0.9021732580321983,-0.04991338913971943,0.04991338913971943,0.4671429846036347,0.5044204127224741,0.5044204127224741
13,2026-01-31 14:55:30.885000+00:00,2026-01-31 14:55:31.135000+00:00,16.946022126808455,2.090009021990636,10.639019816602874,56.88245666082504,20.826113148121074,-1.7328151454469765,1.008894316090381,0.19501165611380444,-0.7071616019183938,0.7071616019183938,0.1599802161421351,-0.3071627684614996,0.3071627684614996
13,2026-01-31 14:55:31.010000+00:00,2026-01-31 14:55:31.260000+00:00,20.098405844031625,1.6053133219881368,7.894407839912842,46.61398857064336,20.7263825588795,-1.6208150504057481,0.9270043186061977,0.1120000950412283,-0.08301156107257614,0.08301156107257614,-0.08188999748418324,-0.24187021362631833,0.24187021362631833
13,2026-01-31 14:55:31.135000+00:00,2026-01-31 14:55:31.385000+00:00,14.462808316012227,0.8415734373053422,4.674420617465361,44.58205155363809,18.532180754897453,-1.655283957827379,0.7579221624799949,-0.03446890742163089,-0.14646900246285924,0.14646900246285924,-0.1690821561262028,-0.08719215864201957,0.08719215864201957
13,2026-01-31 14:55:31.260000+00:00,2026-01-31 14:55:31.510000+00:00,7.218913502457648,0.5902370037612311,3.1527832249043315,41.812104251628654,23.01785713455468,-1.4922264111649008,1.0962049315893443,0.16305754666247818,0.19752645408410907,0.19752645408410907,0.3382827691093494,0.5073649252355522,0.5073649252355522
13,2026-01-31 14:55:31.385000+00:00,2026-01-31 14:55:31.635000+00:00,5.500078277300572,0.7152936373771825,2.583732217097283,38.47328781044335,40.53230018277907,-1.3421231176686454,2.5050064992741703,0.1501032934962554,-0.012954253166222784,0.012954253166222784,1.408801567684826,1.0705187985754767,1.0705187985754767
13,2026-01-31 14:55:31.510000+00:00,2026-01-31 14:55:31.760000+00:00,4.816954202066567,1.453926554031714,2.695547951668506,37.03392779184631,53.90150911044359,-1.3112510329904126,3.592267916961538,0.03087208467823288,-0.11923120881802252,0.11923120881802252,1.0872614176873676,-0.3215401499974584,0.3215401499974584
13,2026-01-31 14:55:31.635000+00:00,2026-01-31 14:55:31.885000+00:00,4.380929012732688,5.951544524205863,3.507126077136131,32.483768228196766,44.988106396470286,-1.3054822084750517,2.8245399967695857,0.005768824515360872,-0.02510326016287201,0.02510326016287201,-0.7677279201919522,-1.8549893378793199,1.8549893378793199
13,2026-01-31 14:55:31.760000+00:00,2026-01-31 14:55:32.010000+00:00,4.546161154688021,13.486764991093537,6.615367357672913,25.707929695421612,21.979269911987895,-1.323153956083911,0.8694414435416902,-0.017671747608859256,-0.023440572124220127,0.023440572124220127,-1.9550985532278955,-1.1873706330359433,1.1873706330359433
13,2026-01-31 14:55:31.885000+00:00,2026-01-31 14:55:32.135000+00:00,3.9267544606904172,13.523599960546122,12.651697809933973,21.752632523321275,7.046513756009385,1.9736923669512485,0.41204228449842506,-2.9863389841444272,-2.968667236535568,2.968667236535568,-0.4573991590432651,1.4976993941846304,1.4976993941846304
13,2026-01-31 14:55:32.010000+00:00,2026-01-31 14:55:32.260000+00:00,6.068657186637533,5.981419159445069,17.35375867141493,19.60277712954979,5.631856178858145,1.9656941988770043,0.5459203112304855,-0.00799816807424425,2.978340816070183,2.978340816070183,0.1338780267320604,0.5912771857753255,0.5912771857753255
13,2026-01-31 14:55:32.135000+00:00,2026-01-31 14:55:32.385000+00:00,10.436798878367334,1.5009574384239048,24.593716835354407,17.174590723641543,8.416912667009557,2.034231484980625,0.35977329724110213,0.06853728610362086,0.07653545417786511,0.07653545417786511,-0.18614701398938333,-0.3200250407214437,0.3200250407214437
13,2026-01-31 14:55:32.260000+00:00,2026-01-31 14:55:32.510000+00:00,10.187555847428406,1.1428437938697968,36.9206715073621,18.84417451996248,14.449256952627023,-2.2862559932474906,0.1469570600984665,1.9626978289514707,1.8941605428478498,1.8941605428478498,-0.21281623714263562,-0.02666922315325229,0.02666922315325229
14,2026-01-31 14:55:36.322500+00:00,2026-01-31 14:55:36.572500+00:00,346.4313608984513,4.684082203288515,2.1452959850086675,12.5909600590462,13.407565991573781,-0.63234937766085,0.2042459168329651,1.6539066155866406,-0.30879121336483006,0.30879121336483006,0.0572888567344986,0.2701050938771342,0.2701050938771342
14,2026-01-31 14:55:36.447500+00:00,2026-01-31 14:55:36.697500+00:00,252.71002990823652,3.9423608054107087,1.7419803453977862,13.959521541386929,13.55668088906287,-0.7689109224751025,0.2102134126459342,-0.13656154481425253,-1.7904681604008932,1.7904681604008932,0.005967495812969098,-0.0513213609215295,0.0513213609215295
14,2026-01-31 14:55:36.572500+00:00,2026-01-31 14:55:36.822500+00:00,191.74800234540805,4.325892400134576,0.8377403699053394,20.123232771526048,10.462366225980944,1.3136840434103796,0.049619098279893956,2.082594965885482,2.219156510699735,2.219156510699735,-0.16059431436604027,-0.16656181017900937,0.16656181017900937
14,2026-01-31 14:55:36.697500+00:00,2026-01-31 14:55:36.947500+00:00,160.5739305579281,4.997291036426036,0.7487473284814778,27.191895863897077,8.986406719757493,2.276901310237811,0.14886473300487027,0.9632172668274315,-1.1193776990580506,1.1193776990580506,0.09924563472497631,0.2598399490910166,0.2598399490910166
14,2026-01-31 14:55:36.822500+00:00,2026-01-31 14:55:37.072500+00:00,120.20867834281555,3.3497005424089568,4.144686691702255,34.979514241594856,6.299709959253869,2.338850016087319,0.38390412529488327,0.06194870584950785,-0.9012685609779236,0.9012685609779236,0.235039392290013,0.1357937575650367,0.1357937575650367
