label,event_task,J,dh,kappa_E,kappa_Q
P24,22,0.15243878163932528,0.03914347825679115,1.3486021391351346,4.026701350250855
P24,24,-0.11100809769308118,-0.025922377846999793,0.3575766927082152,1.7924858826920504
P24,27,0.13959714671781298,0.012698929080239747,0.49366592034602463,7.925626083407685
P25,15,0.052971533248518055,0.016820455250936926,1.2698528468440733,0.2989747178238173
P25,16,-0.22131025694911094,-0.029639838511091386,0.7287448788539463,1.3840321728233376
P25,19,0.04601840316197536,0.00398289233244934,0.7412071769096272,0.8174542007647536
P25,20,-0.05756969405534962,-0.017008461463896427,0.5128201026990374,0.4005410056308506
P25,24,0.32554522667550645,0.03466420142946457,0.7303257641605485,0.162336109393761
P25,26,-0.17581184908633002,-0.04079281192629172,0.379597794493913,1.2534203971187612
P26,1,0.016956236279487058,-0.01001782657783765,0.30462425841157864,
P26,5,0.06702473484357296,0.031071832757953194,1.3239397450447146,2.485916981971509
P26,6,-0.11674618323445718,-0.02837711902248695,0.7238362727094161,5.094398791625879
P26,13,0.07510813592083748,0.018449488035659635,1.0890407304194896,0.283327611311691
P26,14,0.03630024181682184,-0.006511083894237195,0.6347781593250733,2.391847364546956
P26,15,0.0232639507995806,0.004387455186291135,0.4036090157579368,3.17505663028174
P26,16,-0.06450132087679228,-0.006704223197383667,0.9502120115530641,1.739017437148216
P26,24,0.08978127053126694,0.032624590884766776,0.938570273946633,1.1966192812387435
P26,26,-0.0809389292706062,-0.01715267263178282,0.2350251667335659,4.939742769522276
