t,valid,kappa,mq,a,kL,kS,mqL,g,h
305,True,0.3031366023501181,0.7800358570481647,0.4014296153484999,0.34527559093884064,0.013479563631053912,-0.2975945411334202,-0.00763523047684967,-0.012962171797737353
306,True,0.3171451453190783,0.7800358570481647,0.3765212473003157,0.40861185913381715,0.01056489406316646,-0.2975945411334202,-0.007136328118678836,-0.014915631303717397
307,True,0.1649230796807353,0.7800358570481647,0.39102305347001626,0.40861185913381715,0.0037402980119234266,-0.2975945411334202,-0.0047348515109791375,-0.011153663405932993
308,True,0.2149968607242297,0.7800358570481647,0.3468683549870234,0.4859655433436539,0.001655803529782644,-0.2975945411334202,-0.0046446497389431305,-0.014649303566876905
309,True,0.3409790843860322,0.7800358570481647,0.3654256539564703,0.4859655433436539,-0.006829661988549082,-0.2975945411334202,-0.0016587371963239317,-0.010356240073893241
310,True,0.2620464492494895,0.7800358570481647,0.25267061747816927,0.5158400910616245,-0.001204772400934141,-0.2975945411334202,-0.0038865021795909762,-0.016617029733597643
311,True,0.1327898606628292,0.7800358570481647,0.3378466120055204,0.5884553228812055,0.008450750723433308,-0.2975945411334202,-0.007888036028874678,-0.018428507822112784
312,True,2.194813514992328,0.7800358570481647,0.3249790427255853,0.5884553228812055,1.0157651586227337e-05,-0.2975945411334202,-0.004917913450929432,-0.016114139305968334
313,True,1.1745602722156097,0.7800358570481647,0.27961449727212523,0.5884553228812055,0.007802193766236317,-0.2975945411334202,-0.007659818219384578,-0.020218297195645003
314,True,0.6495099295504847,0.7800358570481647,0.25280119503709814,0.5884553228812055,0.008581357654616133,-0.2975945411334202,-0.007933994718251153,-0.020664736922681972
315,True,0.3495720974916491,-1.3752249393150051,0.2315849572970996,0.5158400910616245,0.004836277806682229,0.15447537658348853,-0.005981076190391658,-0.018551175128095714
316,True,0.5042794659113226,-1.3752249393150051,0.21394644535907748,0.5158400910616245,-0.0016394201463485174,1.571791862367593,-0.0036046041289981875,-0.015858600876480177
